country,subnational1,subnational2,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e
Malaysia,Kedah,Kubang Pasu,20,48649,4834869,99,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kubang Pasu,25,48420,4822548,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kubang Pasu,30,47663,4775677,100,550171,315706,234466,145436,538316,331093,216312,274304,426404,390330,575580,517082,1105105,371359,759609,438895,1078390,775854,1069046,774103,649432,612456,470404,407771,320944,405717
Malaysia,Kedah,Kubang Pasu,50,44986,4604852,102,538442,294024,244418,135652,521953,321810,203195,263602,421163,383889,569706,509534,1100502,369970,756345,432106,1066057,762635,1051347,749448,630088,593737,449075,392586,310772,388997
Malaysia,Kedah,Kubang Pasu,75,36223,3837931,106,436607,227953,208653,67480,307512,171098,118132,161926,348287,284754,520950,402189,998459,349044,706006,372125,942970,657864,937776,625310,494529,421848,336189,291728,228952,296821
Malaysia,Kedah,Kulim,0,78946,6385373,81,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kulim,10,59984,6352445,106,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kulim,15,59345,6314576,106,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kulim,20,58827,6282272,107,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kulim,25,58550,6265630,107,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kulim,30,58045,6234727,107,446369,239893,206476,119999,379547,74509,195820,156092,204400,121113,201145,253698,757048,407471,387459,399638,479050,971880,639717,1228709,564667,475390,620872,539921,469404,618940
Malaysia,Kedah,Kulim,50,55626,6064840,109,437784,227366,210418,118987,377426,73288,192582,154641,203094,120624,199648,251060,756241,406230,385653,397434,467319,946802,615891,1212486,544002,466973,600967,526844,455750,595104
Malaysia,Kedah,Kulim,75,48085,5455090,113,393629,188652,204977,100376,338045,57842,160989,140051,186536,114005,163321,223314,725243,396178,375834,384136,409610,858603,542662,1145715,463517,418949,523305,453619,395612,476000
Malaysia,Kedah,Langkawi,0,47954,4034171,84,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Langkawi,10,37389,4018979,107,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Langkawi,15,37134,4005215,108,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Langkawi,20,36984,3996756,108,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Langkawi,25,36851,3989748,108,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Langkawi,30,36559,3972486,109,36340,140796,-104456,6900,22942,12002,30675,23490,51186,14507,50681,36280,23362,32291,24458,23099,35472,61706,65849,37075,82381,57761,41384,39379,20653,42291
Malaysia,Kedah,Langkawi,50,35731,3916066,110,35723,136621,-100899,6672,22748,11795,30388,23139,50776,14241,50341,35989,22895,32227,24268,22316,34060,60933,64397,36356,80403,56356,40998,38496,20358,41474
Malaysia,Kedah,Langkawi,75,31367,3516440,112,29467,114405,-84938,5521,19591,10230,27549,20929,43953,10004,44579,30547,20612,30807,22429,19094,26131,47618,51132,29905,61733,46282,30570,28643,15242,34647
Malaysia,Kedah,Padang Terap,0,134965,11520049,85,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Padang Terap,10,103964,11490241,111,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Padang Terap,15,103039,11431920,111,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Padang Terap,20,102316,11385713,111,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Padang Terap,25,102037,11368286,111,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Padang Terap,30,101242,11314446,112,1092968,539856,553112,256223,372602,362561,1043942,1093890,1396332,1055233,1682883,1127088,1339977,958864,999634,894582,1611746,1439276,1641548,1463355,1665200,1711493,902806,889438,541283,688319
Malaysia,Kedah,Padang Terap,50,98157,11081097,113,1073937,514308,559630,248506,367637,358994,1037497,1079778,1387752,1050545,1677174,1122895,1336406,956921,995413,884642,1588106,1423570,1608761,1434636,1624716,1657828,841027,856052,514255,647446
Malaysia,Kedah,Padang Terap,75,88668,10191162,115,973494,437706,535788,209187,332615,330559,958361,969925,1300988,1014464,1609534,1072194,1299268,937441,971876,826800,1474707,1307436,1412832,1237422,1388637,1439445,668926,712808,413106,501837
Malaysia,Kedah,Pendang,0,64523,4191024,65,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Pendang,10,37987,4116623,108,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Pendang,15,37451,4083316,109,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Pendang,20,37087,4059649,109,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Pendang,25,36901,4048692,110,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Pendang,30,36403,4016901,110,545741,252607,293134,125739,295819,228030,296518,346625,473152,263050,398023,373157,247745,257497,348928,438353,1131702,1435213,1493279,1303445,1158505,530154,387738,310809,261065,447502
Malaysia,Kedah,Pendang,50,34334,3869157,113,536308,234926,301381,124101,293460,226388,293593,344073,470725,261204,396026,371307,246977,256484,346495,434518,1113065,1426463,1476583,1287097,1139801,508492,368270,294057,243751,412146
Malaysia,Kedah,Pendang,75,28010,3306723,118,474916,184440,290475,109840,269628,201062,253743,296785,409479,220149,359293,323951,230278,248592,330914,395201,1007408,1333390,1336229,1174863,1028040,404690,284617,229519,185741,289645
Malaysia,Kedah,Pokok Sena,0,28956,1503533,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Pokok Sena,10,15037,1471287,98,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Pokok Sena,15,14695,1450396,99,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Pokok Sena,20,14474,1436788,99,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Pokok Sena,25,14371,1430931,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Pokok Sena,30,14093,1413222,100,217403,136085,81318,41914,98222,69976,148721,141286,118312,102205,133338,91821,139010,60530,124431,203339,565856,334722,323190,327915,446446,485100,302988,264711,197946,278292
Malaysia,Kedah,Pokok Sena,50,12941,1334522,103,211843,124525,87318,40404,95035,68628,146513,138796,117020,101460,131498,90893,138276,60031,123005,199104,556569,327728,313985,320756,436867,470158,286649,255352,190402,263253
Malaysia,Kedah,Pokok Sena,75,9796,1060413,108,179599,94150,85449,35484,74655,59530,120207,117820,98160,92173,115050,80746,129743,55005,117409,172006,493701,285264,262461,274789,375166,389392,221068,206754,154053,200132
Malaysia,Kedah,Sik,0,167059,21026045,126,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Sik,10,160023,21013149,131,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Sik,15,159589,20985618,131,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Sik,20,159254,20963699,132,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Sik,25,159086,20952551,132,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Sik,30,158741,20929635,132,1018838,586022,432815,269049,683277,407182,585908,669352,789252,662600,1034225,738475,1878330,916323,1037649,646443,1500028,1179905,1484743,2710257,1656235,1375001,1088437,733736,604663,782200
Malaysia,Kedah,Sik,50,156953,20789280,132,1010269,570161,440108,266692,680263,405477,582621,662123,785210,660035,1031568,737205,1876259,914547,1035017,641469,1486223,1175702,1475800,2700603,1638088,1349821,1065532,720219,586766,758948
Malaysia,Kedah,Sik,75,151077,20217230,134,952711,522907,429804,226986,621336,380459,539101,587711,649745,630487,935617,686328,1797496,904340,1020547,618363,1431979,1145596,1424624,2636216,1549471,1247202,990553,669186,533995,685003
Malaysia,Kedah,Yan,0,24783,1060780,43,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Yan,10,11180,988677,88,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Yan,15,11092,984421,89,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Yan,20,11053,982353,89,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Yan,25,11008,980134,89,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Yan,30,10888,974061,89,24376,63896,-39520,3735,13809,20841,27513,12970,4769,10566,6672,12702,16616,22530,26720,7358,18729,15534,22245,51068,54027,35504,24831,66429,58473,27004
Malaysia,Kedah,Yan,50,10522,954332,91,23968,60962,-36994,3635,13788,20776,27097,12938,4707,10516,6633,12416,16581,22508,26667,7191,18253,15360,21467,49968,53059,34755,24125,65375,57335,26123
Malaysia,Kedah,Yan,75,8124,825859,102,21608,43090,-21482,3197,13383,19517,22541,12435,4092,10175,6407,10806,16055,22337,26055,6316,15811,13985,17763,44104,48565,29117,21295,58554,51559,22924
Malaysia,Kelantan,Bachok,0,28035,560186,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Bachok,10,9894,529756,54,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Bachok,15,9374,508050,54,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Bachok,20,9027,492838,55,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Bachok,25,8733,480192,55,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Bachok,30,8200,456325,56,46444,79014,-32570,12043,37789,16152,54096,3202,27091,29510,9587,51816,70612,14324,10750,2364,144840,55807,233718,26044,23602,95916,31983,39397,15227,62345
Malaysia,Kelantan,Bachok,50,6447,373198,58,41623,62947,-21324,11889,36733,14913,52233,2757,25362,27035,9039,48292,67308,13249,10530,2139,120316,49283,217814,24102,21164,76404,28758,34713,14045,49248
Malaysia,Kelantan,Bachok,75,2962,193242,65,22479,32417,-9938,7271,25650,7267,40065,1740,17064,15993,4999,31501,51581,9450,7913,1407,46666,21462,91838,16681,15237,33657,15811,19849,9753,24157
Malaysia,Kelantan,Gua Musang,0,816728,103319240,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Gua Musang,10,791597,103271516,130,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Gua Musang,15,790488,103211259,131,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Gua Musang,20,789686,103165707,131,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Gua Musang,25,789187,103136835,131,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Gua Musang,30,788273,103083346,131,8279211,2636255,5642955,2175490,2267982,1489325,4689140,4237355,3609652,5919296,4899567,9778501,12208131,9301520,16122337,7916772,20305307,11642668,12640549,8984083,10617903,11856659,5805262,7075577,6672692,10206073
Malaysia,Kelantan,Gua Musang,50,783746,102778407,131,8254753,2604096,5650657,2163945,2253168,1482298,4666853,4218444,3599711,5906547,4890030,9764930,12191564,9296007,16096926,7884813,20238661,11586424,12594731,8964514,10593139,11821111,5783067,7050762,6653268,10158409
Malaysia,Kelantan,Gua Musang,75,759554,100794382,133,8032580,2430553,5602027,2077756,2156025,1426468,4499263,4072187,3501738,5754618,4774425,9580885,11995162,9205156,15861791,7578126,19578852,11059399,12091026,8789750,10374742,11491759,5611029,6894387,6499632,9875175
Malaysia,Kelantan,Jeli,0,143012,15834714,111,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Jeli,10,138673,15828614,114,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Jeli,15,138402,15813431,114,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Jeli,20,138227,15803368,114,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Jeli,25,138122,15797496,114,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Jeli,30,137842,15780959,114,810328,702736,107593,146310,142775,171581,240845,307967,453608,2002790,615674,2359473,1864005,897311,1125528,406000,1086250,829426,1053840,805280,696506,878956,592629,679319,610633,670849
Malaysia,Kelantan,Jeli,50,136764,15705427,115,806496,693366,113130,145299,142521,171210,240213,306739,452455,1992342,614296,2351668,1861354,896678,1121226,404851,1081386,826083,1047677,802096,688592,868918,586151,675555,607188,664907
Malaysia,Kelantan,Jeli,75,132032,15305577,116,779004,654168,124836,141375,139869,167817,235536,296643,443935,1908999,599746,2274522,1829670,886052,1101018,389947,1052298,803908,1006699,772082,657431,816199,540556,640913,576462,635422
Malaysia,Kelantan,Kota Bharu,0,40332,1193752,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Kota Bharu,10,16762,1160059,69,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Kota Bharu,15,16135,1130839,70,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Kota Bharu,20,15738,1111779,71,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Kota Bharu,25,15463,1098800,71,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Kota Bharu,30,14790,1065149,72,59707,112611,-52904,24409,28455,24519,16922,25425,20387,51882,16914,62633,61376,34317,30421,9304,99331,96315,116884,89006,111687,149714,65176,92115,62338,83737
Malaysia,Kelantan,Kota Bharu,50,12912,961453,74,57735,98548,-40813,23384,26417,23269,16159,24650,19653,50459,16641,60854,59514,33755,29398,8981,93778,92922,113615,86428,109201,146254,63304,89648,60094,79531
Malaysia,Kelantan,Kota Bharu,75,8552,688601,81,48173,66103,-17930,18855,19909,17464,12146,20887,15611,38300,14098,49218,49091,30097,23374,7181,74963,81850,95653,72898,96088,128361,53264,75153,49855,63662
Malaysia,Kelantan,Kuala Krai,0,227830,24950741,110,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Kuala Krai,10,216303,24930569,115,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Kuala Krai,15,215778,24901238,115,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Kuala Krai,20,215389,24879039,116,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Kuala Krai,25,215202,24868198,116,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Kuala Krai,30,214665,24836201,116,2259906,1163402,1096504,927195,524248,542260,574649,780701,1254999,3966291,1103640,4673110,3067475,1980125,5233026,1831603,3359559,1993620,2326267,1868976,2745981,3762868,2248907,2559813,2387201,2265324
Malaysia,Kelantan,Kuala Krai,50,212747,24703197,116,2253195,1147724,1105471,922638,521790,540335,573580,778906,1253869,3956748,1101009,4667140,3064593,1978015,5227692,1826580,3346753,1982152,2312464,1860669,2737790,3751397,2239470,2549940,2377342,2252613
Malaysia,Kelantan,Kuala Krai,75,202132,23808132,118,2194698,1066295,1128402,893122,498870,523385,555103,757677,1230416,3861816,1071815,4589345,3022617,1963269,5179640,1772267,3244810,1887100,2204726,1803387,2668442,3659410,2170714,2473677,2305290,2141143
Malaysia,Kelantan,Machang,0,52682,5475997,104,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Machang,10,45228,5464351,121,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Machang,15,44877,5444099,121,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Machang,20,44651,5430921,122,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Machang,25,44541,5424726,122,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Machang,30,44152,5400966,122,320467,251988,68479,153326,138839,134207,191535,141129,129305,307575,118524,490364,432214,296632,261493,197594,370189,396301,313825,409691,545654,514299,458930,494230,411859,463031
Malaysia,Kelantan,Machang,50,43141,5329484,124,317065,242744,74322,151676,137672,132520,190245,139134,127778,306266,117054,486480,428059,295011,260007,196683,365196,390739,308915,405887,539865,507630,453426,488241,407812,456207
Malaysia,Kelantan,Machang,75,39777,5042752,127,296630,211360,85270,141608,130456,124996,183185,129688,117037,296027,109280,464622,405041,288391,253157,188511,338094,364402,282261,372552,504026,469257,418441,447911,377341,416201
Malaysia,Kelantan,Pasir Mas,0,59344,3144815,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Pasir Mas,10,38042,3112481,82,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Pasir Mas,15,37220,3073842,83,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Pasir Mas,20,36698,3048452,83,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Pasir Mas,25,36381,3033545,83,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Pasir Mas,30,35659,2997081,84,363918,332609,31309,221109,270086,158582,294733,246846,150918,341653,86753,368572,455343,187898,203188,107800,395901,342749,442317,530323,480592,508198,461186,644951,623639,846768
Malaysia,Kelantan,Pasir Mas,50,32984,2850465,86,358868,309361,49507,218610,267531,156568,291750,242337,149313,336664,86097,365575,451923,186946,202210,106696,382132,337954,435420,522990,474235,498930,452146,634102,615506,838328
Malaysia,Kelantan,Pasir Mas,75,25416,2343769,92,323316,241779,81538,205430,250332,141450,273575,220397,135882,305971,78845,333541,409500,178944,194362,94331,323245,296755,389861,462519,416033,436219,393023,557538,560831,777695
Malaysia,Kelantan,Pasir Putih,0,40332,1812683,45,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Pasir Putih,10,20598,1782977,87,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Pasir Putih,15,20056,1758079,88,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Pasir Putih,20,19758,1743576,88,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Pasir Putih,25,19552,1734127,89,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Pasir Putih,30,19033,1707521,90,121610,156118,-34508,56513,45820,24297,53475,37884,53364,113450,41486,149570,129195,90864,55702,54123,221756,93964,146345,133721,170921,253013,153872,256853,238602,222233
Malaysia,Kelantan,Pasir Putih,50,17684,1633684,92,118924,143739,-24815,55362,44876,23956,52597,36515,52252,111705,40778,146791,126999,90128,55026,53393,212715,91274,143140,129863,167337,244820,150485,253237,235527,216468
Malaysia,Kelantan,Pasir Putih,75,14078,1396317,99,103574,112294,-8719,48653,39689,21323,47113,31784,46890,101901,36174,132808,115248,85177,51424,47053,164626,74568,120654,107406,144763,206945,130574,226262,214096,187079
Malaysia,Kelantan,Tanah Merah,0,85560,8438352,99,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Tanah Merah,10,76917,8426562,110,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Tanah Merah,15,76513,8402852,110,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Tanah Merah,20,76223,8385522,110,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Tanah Merah,25,76090,8377813,110,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Tanah Merah,30,75643,8350295,110,841086,512238,328848,513394,365878,422542,515517,526449,553695,886230,468188,1152396,904755,776833,796485,665041,827641,967211,1143104,1320461,1123064,1022773,967762,1167736,1181835,1075983
Malaysia,Kelantan,Tanah Merah,50,74290,8252303,111,836846,500508,336337,511645,363855,421219,514679,524809,552032,884381,466742,1149509,902423,776029,795460,663799,822418,959629,1137165,1313774,1117386,1015359,960266,1155976,1173394,1065499
Malaysia,Kelantan,Tanah Merah,75,68963,7780633,113,803775,453103,350672,492556,345976,409460,504117,516279,542570,864729,456523,1122111,882716,765200,784334,649398,786310,911695,1092663,1256732,1070688,953544,900876,1073900,1112830,991612
Malaysia,Kelantan,Tumpat,0,19351,382577,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Tumpat,10,7080,365766,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Tumpat,15,6611,348080,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Tumpat,20,6367,338042,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Tumpat,25,6180,330621,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kelantan,Tumpat,30,5819,315680,54,5828,30448,-24621,5201,3186,2765,2892,3372,2631,16792,3957,7328,9381,5404,7705,887,11335,4256,8170,6622,6000,6515,4763,4564,2049,8260
Malaysia,Kelantan,Tumpat,50,4702,266275,57,5428,23790,-18362,5152,2746,2629,2820,2877,2545,16211,3802,6742,9132,5280,7262,810,9497,3903,7792,5842,5633,6214,4625,4186,1833,7298
Malaysia,Kelantan,Tumpat,75,2745,168343,61,3925,13001,-9075,3248,1184,1740,2215,1998,1605,14028,3302,5036,7018,4352,5558,586,5769,2524,5896,4003,4128,4527,3400,2787,1178,4201
Malaysia,Kuala Lumpur,Kuala Lumpur,0,27198,518053,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kuala Lumpur,Kuala Lumpur,10,6860,507628,74,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kuala Lumpur,Kuala Lumpur,15,5685,456774,80,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kuala Lumpur,Kuala Lumpur,20,5485,446937,81,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kuala Lumpur,Kuala Lumpur,25,5109,428862,84,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kuala Lumpur,Kuala Lumpur,30,4827,414389,86,27299,32459,-5160,16136,55437,22913,74824,36865,36508,26536,27896,39608,39601,17764,26078,978,27413,16622,22039,54972,36343,16467,6302,10973,6313,9287
Malaysia,Kuala Lumpur,Kuala Lumpur,50,3914,357079,91,25217,27488,-2271,14451,51321,21525,65925,33405,34605,24868,27569,38706,38287,17534,24473,921,25113,14847,17703,50278,34158,15136,5602,9822,5556,8193
Malaysia,Kuala Lumpur,Kuala Lumpur,75,2446,242429,99,17576,20220,-2644,8956,32718,15482,35223,20927,23478,17451,24983,33014,32557,15361,18608,715,14456,8858,10538,31655,27266,10909,4002,7783,3566,5755
Malaysia,Labuan,Labuan,0,9066,436021,48,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Labuan,Labuan,10,4730,426512,90,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Labuan,Labuan,15,4599,419801,91,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Labuan,Labuan,20,4527,415628,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Labuan,Labuan,25,4480,413030,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Labuan,Labuan,30,4323,403863,93,20672,27011,-6340,10268,9919,6486,5252,12275,10763,22354,19034,17531,11616,28303,59021,9019,34848,42103,58247,18997,15469,9703,15787,16052,21471,20927
Malaysia,Labuan,Labuan,50,3926,378890,97,19743,24960,-5217,10184,9578,6259,5252,12036,10580,22155,18687,17392,11418,28057,58483,8673,33057,39269,52248,17620,14149,8540,14896,15265,20339,19950
Malaysia,Labuan,Labuan,75,3014,310672,103,16622,20357,-3734,9845,8515,5600,4756,11314,9509,20161,17319,15803,10480,26264,54227,7279,27437,32191,37904,13846,11563,4891,10331,11636,15200,16243
Malaysia,Melaka,Alor Gajah,0,67030,4358765,65,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,Alor Gajah,10,49726,4338493,87,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,Alor Gajah,15,48982,4300078,88,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,Alor Gajah,20,48451,4271437,88,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,Alor Gajah,25,48150,4255042,88,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,Alor Gajah,30,47671,4228914,89,588865,327330,261535,464587,337196,243241,286021,890213,476583,585341,475837,770488,136415,570693,508680,213952,1207853,504445,877602,940567,1164512,966380,486371,542938,433043,460936
Malaysia,Melaka,Alor Gajah,50,45025,4059289,90,579513,306680,272833,461659,335014,241892,284816,884392,474714,581086,473284,765684,135668,569389,505954,211450,1194342,497199,852879,924514,1138650,941103,466924,525766,417987,444428
Malaysia,Melaka,Alor Gajah,75,36667,3394547,93,516851,243840,273011,421042,313173,218399,268532,822638,438353,536850,433569,709475,129948,547550,484898,188433,1100674,451939,721667,803702,991044,773769,374865,436723,350115,370209
Malaysia,Melaka,Jasin,0,69871,4363879,62,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,Jasin,10,56096,4348980,78,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,Jasin,15,55546,4322159,78,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,Jasin,20,55109,4299550,78,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,Jasin,25,54882,4288002,78,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Melaka,Jasin,30,54509,4268885,78,452684,291361,161323,247930,386042,157562,132641,542092,248728,636260,322544,575540,99662,554398,452442,188969,667747,508585,1206962,798814,507760,808996,480768,319108,274988,293184
