country,subnational1,subnational2,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e
Malaysia,Johor,Kota Tinggi,50,279681,27468046,98,2975617,1160470,1815148,2578583,5284227,815302,5386606,5793039,4116017,3352704,1823334,4903986,2878668,5081167,3519483,2369304,5215806,2515741,2979253,3009922,1899263,1756485,1137721,864182,379720,778686
Malaysia,Johor,Kota Tinggi,75,251855,25778339,102,2817412,998134,1819278,2517835,5165634,759674,5061002,5601726,4009192,3294473,1788233,4804251,2810135,5017514,3439063,2269154,4834645,2297033,2611665,2718860,1625469,1500551,997816,726293,309123,641125
Malaysia,Johor,Kulaijaya,0,75770,5431290,72,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Kulaijaya,10,57319,5411805,94,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Kulaijaya,15,56773,5387107,95,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Kulaijaya,20,56409,5370027,95,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Kulaijaya,25,56198,5360108,95,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Kulaijaya,30,55772,5339998,96,161076,101367,59709,103835,172402,27887,324894,234735,160045,144178,67538,440696,99450,135383,149454,57667,164672,186740,244923,197171,105251,143502,76858,109224,109383,248872
Malaysia,Johor,Kulaijaya,50,54045,5245891,97,157586,95575,62011,103044,171121,27654,322008,231613,158363,143121,66600,438689,99135,134413,147894,56146,160787,183294,232764,189946,101414,138362,72821,105132,105825,234338
Malaysia,Johor,Kulaijaya,75,47708,4815722,101,140192,77689,62502,93424,154196,24666,293998,205784,146378,133996,62207,419338,94624,128197,140408,50120,137124,166959,199211,158600,84917,114211,54595,84873,92642,183940
Malaysia,Johor,Ledang,0,95344,6775115,71,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Ledang,10,78925,6754358,86,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Ledang,15,78249,6722271,86,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Ledang,20,77652,6692305,86,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Ledang,25,77348,6677206,86,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Ledang,30,76879,6653831,87,598738,426904,171833,397928,397041,395727,362541,714187,366439,683993,419270,1209591,115742,887157,713461,203411,687496,571839,1325269,924486,650871,693107,478126,505641,458840,608807
Malaysia,Johor,Ledang,50,74063,6495849,88,591171,405320,185852,396178,395186,394089,358645,709216,364530,681328,417760,1206969,115557,885186,711367,200772,679153,565039,1305629,906062,637135,676544,462257,492226,447590,588527
Malaysia,Johor,Ledang,75,63852,5805723,91,543449,330141,213308,366609,368236,363307,324723,651925,348164,645334,399976,1172043,114138,865127,693415,187775,634184,522868,1184240,813351,569106,588283,386947,423518,388468,487596
Malaysia,Johor,Mersing,0,299319,35126750,117,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Mersing,10,278128,35098346,126,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Mersing,15,277300,35061753,126,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Mersing,20,276755,35036681,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Mersing,25,276377,35019500,127,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Mersing,30,275655,34985826,127,2531844,1003724,1528120,2261946,1113216,325428,1136494,2003873,2731083,2582133,1882989,3500507,6307065,5268111,4534162,2800156,4791620,2325908,3184138,3147552,2651280,1742719,1303138,1022808,876675,739419
Malaysia,Johor,Mersing,50,272162,34791230,128,2518396,979610,1538786,2256378,1111908,324803,1131310,1994246,2721750,2575762,1877832,3494981,6299609,5261660,4523173,2778663,4750972,2311367,3146764,3127737,2638348,1727572,1281706,1007622,854102,724833
Malaysia,Johor,Mersing,75,258391,33830517,131,2428295,886795,1541501,2204382,1096881,318590,1099100,1925101,2645642,2514230,1830070,3441806,6210465,5198379,4439035,2632107,4475097,2216466,2903911,3011041,2550786,1638081,1164971,909007,783711,641936
Malaysia,Johor,Muar,0,139112,11000742,79,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Muar,10,119817,10975740,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Muar,15,118953,10935630,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Muar,20,118286,10902549,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Muar,25,117892,10883356,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Muar,30,117233,10851137,93,794300,595597,198702,667264,552832,273800,836826,763684,652221,1365749,577876,1687578,257745,1282468,834487,406636,1523233,677149,1275653,952483,679422,781274,636572,509765,522485,551688
Malaysia,Johor,Muar,50,113876,10667401,94,784625,568859,215767,665094,550331,272671,832641,759732,649504,1361545,576277,1682985,257266,1280216,831519,402415,1500486,666461,1244582,931150,665806,756653,617984,497532,509397,534137
Malaysia,Johor,Muar,75,102294,9927676,97,733319,475779,257541,642132,527474,256171,789808,730074,630942,1312097,559909,1644414,252519,1259630,810979,380124,1400199,612343,1102701,830381,596819,649035,540252,439559,446246,452535
Malaysia,Johor,Pontian,0,90704,5742503,63,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Pontian,10,80078,5716035,71,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Pontian,15,79412,5689490,72,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Pontian,20,78879,5667376,72,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Pontian,25,78558,5654150,72,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Pontian,30,77928,5628340,72,522812,630862,-108050,450247,367652,153156,492417,581822,468281,707385,361834,777246,482304,1121742,665789,239455,705456,462966,714391,978283,447339,469667,311857,422274,262791,380318
Malaysia,Johor,Pontian,50,74484,5467553,73,514830,607235,-92405,447747,365392,152388,490913,579212,466723,705021,360776,774325,481580,1117928,663221,234279,686733,451989,693964,952675,434084,452909,301919,410877,253268,363174
Malaysia,Johor,Pontian,75,61598,4746536,77,469890,518050,-48160,424651,348709,147104,465970,549386,447978,679413,345403,744013,469855,1082334,643848,204659,594410,396375,589842,819092,371626,384387,250444,345964,209495,292510
Malaysia,Johor,Segamat,0,287492,27782174,97,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Segamat,10,255394,27746084,109,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Segamat,15,254079,27679404,109,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Segamat,20,252874,27614375,109,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Segamat,25,252352,27586239,109,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Johor,Segamat,30,251442,27537043,110,2444115,1118781,1325334,2586149,1917457,749903,2135730,3864708,3008169,2955519,1044038,3320254,131511,5716534,1949012,1036469,2719782,2342419,3867435,3897337,2402592,2558680,1358093,1779801,1752776,3120276
