country,year,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,emissions_Mg_CO2e
Malaysia,2001,15,6281,302155,48,,,,
Malaysia,2001,20,6220,299483,48,,,,
Malaysia,2001,25,6132,295697,48,,,,
Malaysia,2001,30,5969,288499,48,1646.0,50613.0,-48967.0,5675.0
Malaysia,2001,50,5207,254892,49,1464.0,44544.0,-43080.0,5487.0
Malaysia,2001,75,3697,185118,50,936.0,32850.0,-31914.0,3580.0
Malaysia,2001,0,92069,4698960,51,,,,
Malaysia,2001,10,49559,4621588,93,,,,
Malaysia,2001,15,48512,4560562,94,,,,
Malaysia,2001,20,47703,4510111,95,,,,
Malaysia,2001,25,47290,4485922,95,,,,
Malaysia,2001,30,46460,4436563,95,247378.0,248816.0,-1437.0,68010.0
Malaysia,2001,50,42889,4190567,98,238535.0,235158.0,3377.0,66643.0
Malaysia,2001,75,32029,3293274,103,182808.0,200785.0,-17976.0,53039.0
Malaysia,2001,0,94943,5065399,53,,,,
Malaysia,2001,10,49743,4899952,99,,,,
Malaysia,2001,15,49053,4859309,99,,,,
Malaysia,2001,20,48649,4834869,99,,,,
Malaysia,2001,25,48420,4822548,100,,,,
Malaysia,2001,30,47663,4775677,100,550171.0,315706.0,234466.0,145436.0
Malaysia,2001,50,44986,4604852,102,538442.0,294024.0,244418.0,135652.0
Malaysia,2001,75,36223,3837931,106,436607.0,227953.0,208653.0,67480.0
Malaysia,2001,0,78946,6385373,81,,,,
Malaysia,2001,10,59984,6352445,106,,,,
Malaysia,2001,15,59345,6314576,106,,,,
Malaysia,2001,20,58827,6282272,107,,,,
Malaysia,2001,25,58550,6265630,107,,,,
Malaysia,2001,30,58045,6234727,107,446369.0,239893.0,206476.0,119999.0
Malaysia,2001,50,55626,6064840,109,437784.0,227366.0,210418.0,118987.0
Malaysia,2001,75,48085,5455090,113,393629.0,188652.0,204977.0,100376.0
Malaysia,2001,0,47954,4034171,84,,,,
Malaysia,2001,10,37389,4018979,107,,,,
Malaysia,2001,15,37134,4005215,108,,,,
Malaysia,2001,20,36984,3996756,108,,,,
Malaysia,2001,25,36851,3989748,108,,,,
Malaysia,2001,30,36559,3972486,109,36340.0,140796.0,-104456.0,6900.0
Malaysia,2001,50,35731,3916066,110,35723.0,136621.0,-100899.0,6672.0
Malaysia,2001,75,31367,3516440,112,29467.0,114405.0,-84938.0,5521.0
Malaysia,2001,0,134965,11520049,85,,,,
Malaysia,2001,10,103964,11490241,111,,,,
Malaysia,2001,15,103039,11431920,111,,,,
Malaysia,2001,20,102316,11385713,111,,,,
Malaysia,2001,25,102037,11368286,111,,,,
Malaysia,2001,30,101242,11314446,112,1092968.0,539856.0,553112.0,256223.0
Malaysia,2001,50,98157,11081097,113,1073937.0,514308.0,559630.0,248506.0
Malaysia,2001,75,88668,10191162,115,973494.0,437706.0,535788.0,209187.0
Malaysia,2001,0,64523,4191024,65,,,,
Malaysia,2001,10,37987,4116623,108,,,,
Malaysia,2001,15,37451,4083316,109,,,,
Malaysia,2001,20,37087,4059649,109,,,,
Malaysia,2001,25,36901,4048692,110,,,,
Malaysia,2001,30,36403,4016901,110,545741.0,252607.0,293134.0,125739.0
Malaysia,2001,50,34334,3869157,113,536308.0,234926.0,301381.0,124101.0
Malaysia,2001,75,28010,3306723,118,474916.0,184440.0,290475.0,109840.0
Malaysia,2001,0,28956,1503533,52,,,,
Malaysia,2001,10,15037,1471287,98,,,,
